Algorithm,K,Distance_Metric,Recognition_Rate,Avg_Query_Time
NN,,1,0.9625,0.018441826105117798
NN,,2,0.95,0.04235103726387024
NN,,inf,0.2375,0.01507619023323059
NN,,cos,0.925,0.08564524650573731
KNN,3.0,1,0.975,0.016440019011497498
KNN,3.0,2,0.9375,0.04089976251125336
KNN,3.0,inf,0.2125,0.015113744139671325
KNN,3.0,cos,0.8875,0.08738592565059662
KNN,5.0,1,0.9625,0.01654003858566284
KNN,5.0,2,0.9375,0.04263277649879456
KNN,5.0,inf,0.2375,0.017415851354599
KNN,5.0,cos,0.925,0.08753685057163238
KNN,7.0,1,0.925,0.015889501571655272
KNN,7.0,2,0.925,0.04242615699768067
KNN,7.0,inf,0.2375,0.017503440380096436
KNN,7.0,cos,0.9375,0.0870230495929718
KNN,9.0,1,0.8625,0.016465005278587342
KNN,9.0,2,0.8125,0.041888144612312314
KNN,9.0,inf,0.1875,0.01657758355140686
KNN,9.0,cos,0.9,0.08630811870098114
KNN,11.0,1,0.85,0.01597702205181122
KNN,11.0,2,0.8125,0.0410999059677124
KNN,11.0,inf,0.175,0.0160959929227829
KNN,11.0,cos,0.7875,0.08542779386043549
